number,country,description,points,price,province
39710,France,"A blend of Chenin Blanc, Chardonnay and Cabernet Franc fields a full-bodied wine, with a touch of bitter almonds, citrus fruit and soft, floral aftertaste. It is a dry wine, with an attractive apple skin texture and crisp acidity at the end.",87,25,Loire Valley
39720,Italy,"A blend of 80% Sangiovese, 10% Canaiolo and 10% Cabernet Sauvignon, this starts with aromas of red berry, blue flower and spice. The juicy palate serves up black cherry and cinnamon-spice along with notes of espresso. It's soft and one-dimensional but delicious none the less.",87,18,Tuscany
39730,Italy,"This opens with aromas suggesting toast, menthol, steeped cherry and a whiff of iris. The palate is rather shy, showing oak, licorice and clove but not much fruit richness. Bracing tannins clench the finish. Give the tannins a few years to unwind then drink up.",88,70,Piedmont
39740,US,"Savory bramble and crushed-mineral tones lend complexity to ripe flavors of blueberry and plum on the palate of this wine. Medium bodied in style, it's balanced by a streak of cranberry acidity on the midpalate and rigid, fine-grained tannins.",88,35,New York
39750,Spain,"Aromas of cassis and brandied cherry are rich and full but not overly complex. Flush and ripe on the palate, with tough tannins, this tastes of baked berry fruits. After that, a slight raisiny note blends with latent cassis on a ripe finish.",88,18,Northern Spain
39760,US,"A vegetal note drags down the enjoyment. On the plus side, the wine is nice and silky, with good acidity and raspberry, cherry and fig flavors. But that tug of asparagus is a problem.",84,39,California
39770,France,"The 2004 vintage is certainly mature, but with a light touch it is still attractive to drink. Mushroom and spice are lifted by juicy acidity. The dryness at the end shows it is ready to drink.",84,55,Bordeaux
39780,US,"Peppery and bright, this carries tart flavors of wild berries and mountain herbs. The penetrating peppery character is its most defining attribute.",87,36,Washington
39790,Italy,"BlanQ advertises itself as the perfect aperitivo, or cocktail wine, and this billing is right on the money. The bouquet is redolent of summer flowers, melon and peach and there's a nice creaminess here, provoked in part by the Sicilian sunshine.",87,,Sicily & Sardinia
39800,Argentina,"Rooty aromas of tree bark, cola, tobacco and sweet briar set up a plump, tannic palate with roasted, sweet flavors of Mission fig, dark berry and spice. It's easygoing and loamy on the finish, with chewy tannins and not too much bite.",87,14,Mendoza Province
39810,Portugal,"A superior Vinho Verde, elegant and full-bodied. The creamy texture is partnered with ripe apricot and pear fruits, a touch of green plum and a feeling of opulence along with the acidity. Drink now, or age a year.",91,19,Vinho Verde
39820,US,"This 100% varietal wine is one of the best Viognier buys in California. It's dry and crisp in acidity, with slightly oaky notes accenting ripe flavors of peaches, limes, apricots and honeydew. This would be a good buy at twice the price.",90,16,California
39830,France,"This single-vineyard wine is a showcase of ripeness—fruity and smooth with great plum and wild strawberry flavors. It's intensely structured and dense on the palate, however, making it a wine for aging. Drink from 2016.",90,77,Burgundy
39840,Argentina,"Melon and stone-fruit aromas are minerally and mild, with no overt fruit or oaky aromas sticking out. Crisp, citric and still a touch oily in feel, this tastes of briny citrus fruits, popcorn and salt. On the finish, this shows good body along with lasting salty citrus flavors.",87,25,Mendoza Province
39850,Argentina,"Soupy berry aromas with cheesy oak notes make for an earthy, challenging nose. This feels full, grabby and highly tannic. Medicinal berry and cherry flavors are accented by brown-sugar sweetness and chocolaty spice on the finish.",87,20,Mendoza Province
39860,France,"This is a lighter style of Pinot Noir than some produced in Sancerre today. It brings out perfumes and red-cherry flavors lifted by acidity. The wine is fruity, with hints of wood aging and a juicy aftertaste. Drink now.",87,27,Loire Valley
39870,US,"Soft and ripe in extracted cherry and blackberry jam fruit, this also has some heat on the palate, the result of 15% alcohol. It feels a little simple, and the heat is off-putting.",84,25,California
39880,Italy,"This light-colored Cortese is an easy-going white that manages to be both very light and quite complex. The aromas of roasted peaches and apricots is lovely but low in intensity. The same can be said for the palate; complex and a touch dilute. The finish on this surprising, it has a real persistence to it.",84,10,Piedmont
39890,US,"A good rosé, fruity and spicy and crisp in acids. It's a bit on the sweet side, but otherwise offers pleasant flavors of strawberries, raspberries, herb tea and spices.",87,18,California
39900,US,"The tech sheet for this wine nicely mentions how the vineyard is surrounded by both 100-year-old walnut trees and, what do you know?, marijuana. Does either influence the wine? It does show a muskiness but really its strengths are steely drops of extreme lemon, most decidedly on the long, exuberant finish.",87,15,California
39910,France,"Already lightening in color and possessing only modest cherry fruit, this supple wine should be consumed over the next few months.",84,13,Rh?ne Valley
39920,US,"Too heavy for a rosé, with black cherry, cola and leather flavors that lack the delicacy and zest you want in a blush wine.",84,23,California
39930,US,"Very soft and simple, with candied flavors of blackberries, cocoa, spices and oak. Perfectly fine for drinking now.",84,24,California
39940,US,"Apple-cider and earth aromas open to a simple apple-toast palate. The mouthfeel is even, the finish dry and rather woody. Then again, there are few drinkable California Chardonnays of this age.",82,13,California
39950,US,"This wine shows some of the less appealing aspects of American oak: overt spice and vanilla flavors and a slick, oily mouthfeel.",82,14,New York
39960,US,"Vanilla, butterscotch and some harsher oak-derived compounds dominate the modest citrus fruit that might have been wine before it was turned into oak juice. For wood lovers only.",80,18,New York
39970,US,"Floral, spicy and sweet on the nose, and with a straightforward, refreshing blend of typical Riesling flavors, this wine is dependable and pretty, and will pair well with spicy Asian and Indian cuisine. A touch sweet but clean.",84,22,Michigan
39980,Italy,"Awkward notes at the beginning blow off quickly to reveal mature notes of plum, raisin and blackberry jam. The wine tastes thick and slightly sweet and has a chewy, dense mouthfeel.",84,18,Southern Italy
39990,US,"A soft, dry and easy wine to like, this Merlot has flavors of cherries, blackberries, Asian spices and cola, with smoky overtones of oak. Drink now.",84,28,California
40000,Portugal,This is a ripe and juicy blend of Cabernet Sauvignon and Tinta Roriz. The tannins are present although well integrated into the fine juicy red-fruit flavors. The wine is ready to drink.,87,9,Lisboa
40010,US,"Pino is a new Oregon entry from the Bronco Wine Company. This fragrant wine, from Willamette Valley grapes, brings fleshy pear fruit and penetrating spices. There's big, forward flavor to spare, with just a slight burn in the finish.",87,18,Oregon
40020,US,"In this wine a deft mix of brambly berries and bitter green herbs balances against firm, earthy tannins. The supporting acids are ample but not intrusive.",87,24,Oregon
40030,Italy,"Here is a luminous single-vineyard bubbly with steady and persistent perlage and pristine aromas of acacia flower, orange zest and peach. Thanks to small percentages of Verdiso and Perera, it is a very fruit-forward wine with great balance and drying mineral tones.",87,16,Veneto
40040,Italy,"Here's an elegant, drying Prosecco Brut (with 10% Bianchetta and 5% Verdiso) that delivers pretty mineral linearity backed by a beautiful embroidery of flowers and yellow fruit. The wine is clean and crisp with zesty lemon on the close.",87,,Veneto
40050,Spain,"Cotton candy and warm, dusty aromas give the wine pleasant, semisweet opening aromas. The palate is round and solidly formed, with creamsicle flavors and a bit of brown sugar or treacle. A good wine with just a touch of sweetness in the middle; must be a touch of residual sugar here.",87,9,Northern Spain
40060,US,"This bottling by fine producer Kunde always shows a grassy, hay-like note to the citrus fruit flavors, so if that's your style, you'll like it. The wine itself is only lightly oaked, and feels crisp and clean in the mouth, as well as dry. The low alcohol is a pleasure.",87,15,California
